doc_date,doc_no,source_tx_type,tx_type_name,customer,customer_class,region_manager,warehouse,material_code,material_name,brand,tax_included_amount,batch_no,shipping_channel,audit_date,creator,sales_out_qty,dispatch_qty,invoiced_qty,tx_type,audit_time,remark,source_doc_tx_type,entry_method,tax_included_unit_price,source_doc_no
2026-05-30,SO-00000033,01,调拨出库,客户035,C类,大区经理4,WH-002-次仓,SKU-0009,物料-24,Brand B,49908.92,B20260530-0033,批发,2026-06-02,员工7,73,19,8,XSCK01,2026-06-02 11:00:00,,DDCK02,,329.6,SRC-00000033
2026-03-26,SO-00000034,02,报损出库,客户014,C类,大区经理1,WH-001-主仓,SKU-0009,物料-11,Brand C,41288.18,B20260326-0034,直营,2026-03-26,员工8,28,64,64,XSCK03,2026-03-26 12:00:00,,DDCK01,,477.59,
2026-05-12,SO-00000035,04,正常出库,客户014,A类,大区经理3,WH-001-主仓,SKU-0020,物料-14,Brand D,44206.7,B20260512-0035,批发,2026-05-12,员工3,77,66,35,XSCK02,2026-05-12 10:00:00,促销,,普通,156.8,
2026-05-12,SO-00000036,03,调拨出库,客户010,B类,大区经理3,WH-001-主仓,SKU-0009,物料-24,Brand C,46859.03,B20260512-0036,电商,2026-05-14,员工2,31,57,97,XSCK01,2026-05-14 17:00:00,促销,,调拨,429.05,SRC-00000036
2026-04-27,SO-00000037,01,调拨出库,客户012,B类,大区经理1,WH-003-电商仓,SKU-0015,物料-10,Brand E,17112.7,B20260427-0037,批发,2026-05-01,员工5,39,44,33,XSCK01,2026-05-01 19:00:00,促销,DDCK02,普通,257.95,
2026-05-12,SO-00000038,02,调拨出库,客户038,A类,大区经理1,WH-003-电商仓,SKU-0013,物料-15,Brand G,14924.14,B20260512-0038,批发,2026-05-16,员工2,50,12,80,XSCK02,2026-05-16 08:00:00,,DDCK02,普通,478.71,
2026-05-01,SO-00000039,02,退货出库,客户044,C类,大区经理2,WH-003-电商仓,SKU-0022,物料-07,Brand I,11779.72,B20260501-0039,电商,2026-05-01,员工10,78,40,31,XSCK01,2026-05-01 19:00:00,促销,,,76.77,SRC-00000039
2026-05-05,SO-00000040,04,退货出库,客户046,B类,大区经理4,WH-002-次仓,SKU-0016,物料-07,非自营-39,41522.83,B20260505-0040,直营,2026-05-06,员工5,86,24,65,XSCK03,2026-05-06 11:00:00,促销,DDCK02,,487.1,
2026-05-14,SO-00000041,01,报损出库,客户034,C类,大区经理1,WH-003-电商仓,SKU-0002,物料-10,Brand L,34009.64,B20260514-0041,电商,2026-05-17,员工10,37,11,99,XSCK03,2026-05-17 08:00:00,正常,DDCK02,调拨,226.08,
2026-03-14,SO-00000042,03,调拨出库,客户041,B类,大区经理1,WH-003-电商仓,SKU-0026,物料-04,Brand G,11884.98,B20260314-0042,零售,2026-03-15,员工6,88,66,24,XSCK02,2026-03-15 18:00:00,样品,DDCK02,调拨,476.94,SRC-00000042
2026-05-01,SO-00000043,02,调拨出库,客户010,B类,大区经理2,WH-002-次仓,SKU-0014,物料-25,Brand I,18911.99,B20260501-0043,电商,2026-05-02,员工8,72,1,50,XSCK03,2026-05-02 18:00:00,样品,DDCK02,调拨,234.76,
2026-03-18,SO-00000044,01,正常出库,客户017,B类,大区经理2,WH-002-次仓,SKU-0027,物料-28,Brand L,25384.92,B20260318-0044,直营,2026-03-18,员工6,15,58,62,XSCK02,2026-03-18 14:00:00,样品,DDCK01,调拨,269.74,
2026-04-01,SO-00000045,03,报损出库,客户017,B类,大区经理5,WH-001-主仓,SKU-0006,物料-18,非自营-44,26454.19,B20260401-0045,电商,2026-04-01,员工4,51,28,89,XSCK01,2026-04-01 14:00:00,,DDCK02,普通,404.34,SRC-00000045
2026-05-23,SO-00000046,02,正常出库,客户003,C类,大区经理3,WH-002-次仓,SKU-0002,物料-27,Brand A,44447.51,B20260523-0046,批发,2026-05-23,员工3,70,68,44,XSCK03,2026-05-23 11:00:00,,DDCK02,调拨,364.09,
2026-04-19,SO-00000047,02,报损出库,客户031,C类,大区经理4,WH-002-次仓,SKU-0008,物料-25,Brand A,19090.25,B20260419-0047,直营,2026-04-19,员工2,23,94,25,XSCK02,2026-04-19 12:00:00,促销,DDCK01,普通,313.61,
2026-03-29,SO-00000048,03,报损出库,客户001,C类,大区经理5,WH-003-电商仓,SKU-0004,物料-10,Brand G,45435.35,B20260329-0048,零售,2026-04-02,员工1,25,59,20,XSCK03,2026-04-02 17:00:00,正常,DDCK02,普通,214.32,SRC-00000048
2026-03-15,SO-00000049,03,退货出库,客户012,C类,大区经理1,WH-001-主仓,SKU-0021,物料-19,非自营-48,22124.24,B20260315-0049,直营,2026-03-15,员工2,95,71,81,XSCK01,2026-03-15 14:00:00,,DDCK02,调拨,398.29,
2026-06-08,SO-00000050,04,退货出库,客户039,A类,大区经理2,WH-001-主仓,SKU-0024,物料-14,Brand E,37344.0,B20260608-0050,批发,2026-06-12,员工2,46,22,92,XSCK01,2026-06-12 13:00:00,样品,,调拨,474.63,
2026-05-10,SO-00000051,01,正常出库,客户004,B类,大区经理3,WH-002-次仓,SKU-0014,物料-13,Brand G,46519.69,B20260510-0051,零售,2026-05-14,员工5,93,90,50,XSCK03,2026-05-14 11:00:00,,,普通,14.81,SRC-00000051
2026-03-25,SO-00000052,01,报损出库,客户042,B类,大区经理5,WH-003-电商仓,SKU-0011,物料-15,Brand G,45388.03,B20260325-0052,直营,2026-03-25,员工9,23,29,23,XSCK01,2026-03-25 11:00:00,正常,,,298.04,
2026-03-20,SO-00000053,04,调拨出库,客户013,B类,大区经理3,WH-003-电商仓,SKU-0024,物料-16,Brand B,2941.95,B20260320-0053,直营,2026-03-22,员工1,10,89,91,XSCK02,2026-03-22 09:00:00,,DDCK01,调拨,434.33,
2026-06-09,SO-00000054,02,退货出库,客户034,A类,大区经理2,WH-003-电商仓,SKU-0028,物料-02,Brand D,10364.64,B20260609-0054,批发,2026-06-12,员工4,73,74,11,XSCK03,2026-06-12 17:00:00,样品,DDCK02,,330.03,SRC-00000054
2026-05-03,SO-00000055,03,调拨出库,客户042,C类,大区经理5,WH-003-电商仓,SKU-0014,物料-29,Brand A,23897.58,B20260503-0055,电商,2026-05-04,员工10,77,84,10,XSCK03,2026-05-04 09:00:00,,DDCK01,普通,402.41,
2026-03-13,SO-00000056,03,正常出库,客户021,B类,大区经理5,WH-002-次仓,SKU-0012,物料-04,Brand B,21634.56,B20260313-0056,电商,2026-03-17,员工7,32,78,26,XSCK01,2026-03-17 19:00:00,样品,DDCK01,,448.58,
2026-06-03,SO-00000057,03,退货出库,客户022,C类,大区经理3,WH-003-电商仓,SKU-0016,物料-21,Brand J,32080.49,B20260603-0057,零售,2026-06-06,员工10,51,97,22,XSCK02,2026-06-06 11:00:00,样品,DDCK02,普通,377.97,SRC-00000057
2026-05-10,SO-00000058,02,退货出库,客户004,C类,大区经理2,WH-001-主仓,SKU-0006,物料-18,Brand J,47240.98,B20260510-0058,批发,2026-05-12,员工3,41,69,32,XSCK03,2026-05-12 12:00:00,样品,DDCK02,,361.34,
2026-05-21,SO-00000059,03,报损出库,客户018,A类,大区经理1,WH-001-主仓,SKU-0020,物料-29,Brand J,5709.0,B20260521-0059,批发,2026-05-22,员工8,65,45,79,XSCK03,2026-05-22 11:00:00,,,,482.73,
2026-04-24,SO-00000060,03,正常出库,客户005,A类,大区经理5,WH-002-次仓,SKU-0001,物料-17,Brand I,22647.75,B20260424-0060,电商,2026-04-25,员工3,65,70,91,XSCK01,2026-04-25 10:00:00,正常,DDCK02,,433.21,SRC-00000060
2026-03-19,SO-00000061,04,报损出库,客户019,C类,大区经理1,WH-003-电商仓,SKU-0012,物料-10,Brand J,9701.31,B20260319-0061,电商,2026-03-23,员工8,40,86,91,XSCK01,2026-03-23 18:00:00,样品,DDCK01,普通,409.54,
2026-04-27,SO-00000062,02,退货出库,客户002,B类,大区经理2,WH-003-电商仓,SKU-0007,物料-27,Brand I,44715.97,B20260427-0062,零售,2026-04-27,员工2,18,17,37,XSCK02,2026-04-27 09:00:00,,,普通,52.34,
2026-04-15,SO-00000063,01,正常出库,客户012,B类,大区经理5,WH-003-电商仓,SKU-0008,物料-21,Brand I,48232.55,B20260415-0063,电商,2026-04-17,员工5,36,79,54,XSCK02,2026-04-17 11:00:00,正常,DDCK01,普通,127.12,SRC-00000063
2026-05-28,SO-00000064,04,退货出库,客户017,A类,大区经理5,WH-003-电商仓,SKU-0009,物料-09,Brand I,23987.21,B20260528-0064,零售,2026-06-01,员工4,31,39,69,XSCK01,2026-06-01 18:00:00,,DDCK02,调拨,282.81,
2026-05-31,SO-00000065,04,正常出库,客户010,A类,大区经理1,WH-002-次仓,SKU-0002,物料-15,Brand G,5290.11,B20260531-0065,直营,2026-06-02,员工9,54,40,41,XSCK02,2026-06-02 12:00:00,样品,,普通,357.68,
2026-04-16,SO-00000066,01,退货出库,客户034,A类,大区经理4,WH-003-电商仓,SKU-0017,物料-28,Brand E,39286.2,B20260416-0066,零售,2026-04-16,员工3,63,28,28,XSCK01,2026-04-16 08:00:00,促销,DDCK02,调拨,158.58,SRC-00000066
2026-04-30,SO-00000067,04,调拨出库,客户006,A类,大区经理1,WH-002-次仓,SKU-0020,物料-12,Brand I,34887.35,B20260430-0067,零售,2026-04-30,员工5,1,2,33,XSCK03,2026-04-30 08:00:00,,,普通,55.73,
2026-03-15,SO-00000068,02,调拨出库,客户008,A类,大区经理1,WH-003-电商仓,SKU-0013,物料-21,Brand D,17798.07,B20260315-0068,零售,2026-03-19,员工10,52,82,56,XSCK01,2026-03-19 13:00:00,,,调拨,162.44,
2026-03-13,SO-00000069,03,报损出库,客户011,A类,大区经理4,WH-003-电商仓,SKU-0005,物料-28,Brand G,44381.63,B20260313-0069,直营,2026-03-13,员工9,57,27,2,XSCK01,2026-03-13 12:00:00,,,,387.8,SRC-00000069
2026-03-17,SO-00000070,02,调拨出库,客户012,A类,大区经理2,WH-001-主仓,SKU-0010,物料-27,非自营-69,48794.01,B20260317-0070,电商,2026-03-20,员工6,9,21,5,XSCK01,2026-03-20 18:00:00,,DDCK02,,439.93,
2026-05-04,SO-00000071,01,退货出库,客户009,B类,大区经理2,WH-002-次仓,SKU-0012,物料-26,Brand D,27936.91,B20260504-0071,零售,2026-05-05,员工2,86,87,47,XSCK03,2026-05-05 11:00:00,,,普通,457.32,
2026-03-15,SO-00000072,01,退货出库,客户002,A类,大区经理5,WH-001-主仓,SKU-0017,物料-09,Brand L,28329.82,B20260315-0072,电商,2026-03-19,员工1,92,7,63,XSCK02,2026-03-19 08:00:00,正常,,调拨,195.64,SRC-00000072
2026-05-04,SO-00000073,04,调拨出库,客户008,A类,大区经理3,WH-002-次仓,SKU-0021,物料-14,非自营-72,14945.92,B20260504-0073,零售,2026-05-06,员工1,90,61,12,XSCK02,2026-05-06 19:00:00,促销,DDCK02,,192.54,
2026-05-13,SO-00000074,02,报损出库,客户011,B类,大区经理3,WH-003-电商仓,SKU-0006,物料-13,Brand D,29266.85,B20260513-0074,电商,2026-05-16,员工7,74,52,35,XSCK02,2026-05-16 14:00:00,正常,DDCK01,,209.29,
2026-03-29,SO-00000075,02,调拨出库,客户036,B类,大区经理5,WH-003-电商仓,SKU-0003,物料-28,Brand B,22038.15,B20260329-0075,零售,2026-04-02,员工2,56,48,78,XSCK01,2026-04-02 11:00:00,样品,DDCK02,调拨,194.15,SRC-00000075
2026-06-09,SO-00000076,01,正常出库,客户010,C类,大区经理3,WH-002-次仓,SKU-0028,物料-26,Brand J,15179.33,B20260609-0076,电商,2026-06-09,员工7,47,19,69,XSCK01,2026-06-09 10:00:00,促销,DDCK02,普通,336.44,
2026-04-24,SO-00000077,02,正常出库,客户021,A类,大区经理1,WH-001-主仓,SKU-0015,物料-06,Brand H,3452.54,B20260424-0077,批发,2026-04-24,员工1,3,73,32,XSCK02,2026-04-24 14:00:00,正常,,,185.58,
2026-04-14,SO-00000078,01,正常出库,客户020,A类,大区经理1,WH-002-次仓,SKU-0007,物料-19,非自营-77,12710.12,B20260414-0078,直营,2026-04-14,员工4,2,12,75,XSCK03,2026-04-14 09:00:00,样品,DDCK02,普通,19.97,SRC-00000078
2026-05-24,SO-00000079,02,调拨出库,客户048,A类,大区经理4,WH-002-次仓,SKU-0030,物料-04,Brand J,9972.95,B20260524-0079,零售,2026-05-24,员工10,54,94,56,XSCK03,2026-05-24 17:00:00,促销,DDCK02,普通,225.12,
2026-05-12,SO-00000080,02,调拨出库,客户008,A类,大区经理4,WH-003-电商仓,SKU-0006,物料-20,Brand E,27147.9,B20260512-0080,直营,2026-05-14,员工4,37,71,54,XSCK03,2026-05-14 08:00:00,,DDCK02,调拨,119.83,
2026-03-25,SO-00000081,02,调拨出库,客户036,C类,大区经理5,WH-001-主仓,SKU-0004,物料-17,Brand C,30123.33,B20260325-0081,零售,2026-03-28,员工5,56,2,12,XSCK03,2026-03-28 18:00:00,样品,,调拨,24.12,SRC-00000081
2026-04-28,SO-00000082,01,正常出库,客户029,B类,大区经理5,WH-002-次仓,SKU-0019,物料-19,非自营-81,30467.73,B20260428-0082,批发,2026-04-29,员工10,31,17,96,XSCK01,2026-04-29 11:00:00,正常,DDCK02,,240.71,
2026-03-26,SO-00000083,04,报损出库,客户042,B类,大区经理5,WH-001-主仓,SKU-0005,物料-03,Brand I,19470.23,B20260326-0083,批发,2026-03-28,员工1,97,75,50,XSCK02,2026-03-28 15:00:00,促销,,调拨,110.92,
2026-05-22,SO-00000084,02,退货出库,客户012,A类,大区经理1,WH-001-主仓,SKU-0003,物料-29,Brand H,21119.36,B20260522-0084,直营,2026-05-24,员工7,96,76,91,XSCK03,2026-05-24 13:00:00,样品,DDCK02,,231.84,SRC-00000084
2026-05-28,SO-00000085,01,调拨出库,客户014,A类,大区经理3,WH-002-次仓,SKU-0026,物料-14,Brand C,41728.5,B20260528-0085,零售,2026-05-29,员工2,12,3,52,XSCK01,2026-05-29 16:00:00,样品,,,146.1,
2026-06-06,SO-00000086,01,报损出库,客户048,A类,大区经理5,WH-001-主仓,SKU-0025,物料-17,Brand B,23864.02,B20260606-0086,电商,2026-06-07,员工2,58,21,35,XSCK01,2026-06-07 08:00:00,,,,305.82,
2026-05-12,SO-00000087,02,退货出库,客户050,C类,大区经理5,WH-003-电商仓,SKU-0009,物料-13,Brand B,49389.89,B20260512-0087,零售,2026-05-12,员工8,67,78,4,XSCK01,2026-05-12 08:00:00,样品,DDCK02,普通,495.53,SRC-00000087
2026-04-20,SO-00000088,02,退货出库,客户021,C类,大区经理1,WH-003-电商仓,SKU-0006,物料-09,非自营-87,22036.9,B20260420-0088,电商,2026-04-22,员工9,26,79,24,XSCK02,2026-04-22 18:00:00,促销,DDCK01,普通,278.14,
2026-06-04,SO-00000089,04,退货出库,客户022,B类,大区经理1,WH-003-电商仓,SKU-0013,物料-27,Brand A,32514.09,B20260604-0089,直营,2026-06-08,员工6,78,51,80,XSCK01,2026-06-08 12:00:00,,DDCK02,调拨,326.98,
2026-05-30,SO-00000090,01,报损出库,客户021,A类,大区经理1,WH-003-电商仓,SKU-0027,物料-01,非自营-89,2613.11,B20260530-0090,直营,2026-05-31,员工1,12,10,36,XSCK02,2026-05-31 13:00:00,促销,DDCK01,调拨,460.45,SRC-00000090
2026-06-01,SO-00000091,01,报损出库,客户044,A类,大区经理3,WH-001-主仓,SKU-0022,物料-25,非自营-90,32701.66,B20260601-0091,批发,2026-06-02,员工1,90,55,18,XSCK02,2026-06-02 15:00:00,促销,,,193.26,
2026-05-03,SO-00000092,03,正常出库,客户050,A类,大区经理5,WH-003-电商仓,SKU-0028,物料-17,非自营-91,42586.18,B20260503-0092,电商,2026-05-06,员工7,16,36,34,XSCK02,2026-05-06 10:00:00,,DDCK01,,91.61,
2026-04-04,SO-00000093,01,报损出库,客户030,A类,大区经理2,WH-002-次仓,SKU-0030,物料-16,非自营-92,47128.65,B20260404-0093,零售,2026-04-08,员工8,53,51,33,XSCK02,2026-04-08 13:00:00,,DDCK01,普通,148.57,SRC-00000093
2026-04-06,SO-00000094,04,报损出库,客户039,C类,大区经理2,WH-003-电商仓,SKU-0020,物料-18,Brand F,49866.3,B20260406-0094,批发,2026-04-10,员工3,72,74,53,XSCK01,2026-04-10 10:00:00,样品,,普通,207.37,
2026-06-08,SO-00000095,03,报损出库,客户020,B类,大区经理5,WH-002-次仓,SKU-0004,物料-02,Brand I,14180.71,B20260608-0095,直营,2026-06-09,员工9,49,17,45,XSCK01,2026-06-09 15:00:00,,DDCK01,,326.06,
2026-05-10,SO-00000096,03,退货出库,客户024,B类,大区经理5,WH-002-次仓,SKU-0002,物料-14,Brand G,28810.97,B20260510-0096,批发,2026-05-10,员工4,49,89,5,XSCK01,2026-05-10 19:00:00,样品,DDCK02,,12.25,SRC-00000096
2026-04-21,SO-00000097,03,调拨出库,客户023,C类,大区经理5,WH-003-电商仓,SKU-0026,物料-22,Brand L,22590.83,B20260421-0097,零售,2026-04-24,员工4,92,61,82,XSCK03,2026-04-24 18:00:00,,DDCK01,调拨,428.16,
2026-04-09,SO-00000098,02,正常出库,客户007,A类,大区经理5,WH-003-电商仓,SKU-0004,物料-23,Brand B,28234.49,B20260409-0098,零售,2026-04-13,员工3,7,91,0,XSCK03,2026-04-13 18:00:00,正常,,,47.29,
2026-03-26,SO-00000099,02,调拨出库,客户009,B类,大区经理3,WH-001-主仓,SKU-0008,物料-27,非自营-98,7956.9,B20260326-0099,直营,2026-03-27,员工8,15,97,70,XSCK02,2026-03-27 11:00:00,,DDCK01,,451.32,SRC-00000099
2026-04-25,SO-00000100,01,调拨出库,客户001,B类,大区经理2,WH-002-次仓,SKU-0013,物料-17,Brand F,42821.86,B20260425-0100,批发,2026-04-29,员工9,36,75,33,XSCK02,2026-04-29 09:00:00,,,,475.22,
2026-05-15,SO-00000101,03,报损出库,客户026,C类,大区经理4,WH-003-电商仓,SKU-0010,物料-03,非自营-100,45487.49,B20260515-0101,电商,2026-05-18,员工1,72,13,55,XSCK02,2026-05-18 19:00:00,,,普通,495.15,
2026-06-08,SO-00000102,04,正常出库,客户038,A类,大区经理2,WH-001-主仓,SKU-0018,物料-02,Brand I,22538.12,B20260608-0102,电商,2026-06-11,员工2,74,65,82,XSCK02,2026-06-11 16:00:00,,DDCK02,普通,406.66,SRC-00000102
2026-05-21,SO-00000103,02,调拨出库,客户038,B类,大区经理2,WH-003-电商仓,SKU-0009,物料-08,Brand D,14093.45,B20260521-0103,电商,2026-05-23,员工1,15,95,96,XSCK02,2026-05-23 17:00:00,,,调拨,79.51,
2026-03-20,SO-00000104,04,调拨出库,客户044,A类,大区经理1,WH-003-电商仓,SKU-0030,物料-25,Brand E,7127.59,B20260320-0104,零售,2026-03-21,员工4,62,97,25,XSCK03,2026-03-21 15:00:00,样品,DDCK01,调拨,356.02,
2026-06-07,SO-00000105,04,正常出库,客户022,B类,大区经理5,WH-003-电商仓,SKU-0001,物料-29,Brand E,34219.86,B20260607-0105,批发,2026-06-10,员工10,18,85,41,XSCK02,2026-06-10 13:00:00,,DDCK02,调拨,109.63,SRC-00000105
2026-03-12,SO-00000106,02,报损出库,客户044,C类,大区经理5,WH-002-次仓,SKU-0013,物料-02,Brand C,15680.37,B20260312-0106,电商,2026-03-14,员工7,46,80,90,XSCK01,2026-03-14 10:00:00,,DDCK02,,449.59,
