brand_sales_no,stock_in_date,doc_no,order_tx_type,audit_date,material_code,material_name,receivable_qty,batch_no,warehouse,doc_status,expiry_date,model,stock_in_qty,remark,logistics_no,logistics_company,supplier_material_code,supplier_material_name
BS-00000050,2026-03-20,RK-00000050,02,2026-03-20,SKU-0008,物料-19,268,R20260320-0050,WH-003-电商仓,已审核,2027-01-08,D型,119,破损,LG202603200050,申通,SUP-000050,供应商物料-50
BS-00000051,2026-04-16,RK-00000051,03,2026-04-16,SKU-0013,物料-25,395,R20260416-0051,WH-003-电商仓,已审核,2026-10-16,D型,776,正常,LG202604160051,中通,SUP-000051,供应商物料-51
BS-00000052,2026-04-03,RK-00000052,01,2026-04-04,SKU-0020,物料-09,946,R20260403-0052,WH-003-电商仓,已审核,2027-02-04,B型,44,正常,LG202604030052,申通,SUP-000052,供应商物料-52
BS-00000053,2026-05-29,RK-00000053,01,2026-05-29,SKU-0009,物料-05,39,R20260529-0053,WH-001-主仓,已审核,2026-12-03,D型,945,,LG202605290053,中通,SUP-000053,供应商物料-53
BS-00000054,2026-05-07,RK-00000054,02,2026-05-07,SKU-0025,物料-29,430,R20260507-0054,WH-002-次仓,已审核,2027-09-22,D型,853,破损,LG202605070054,顺丰,SUP-000054,供应商物料-54
BS-00000055,2026-04-30,RK-00000055,01,2026-05-02,SKU-0005,物料-06,986,R20260430-0055,WH-001-主仓,已审核,2027-02-21,C型,231,,LG202604300055,申通,SUP-000055,供应商物料-55
BS-00000056,2026-05-09,RK-00000056,01,2026-05-09,SKU-0011,物料-23,12,R20260509-0056,WH-003-电商仓,已审核,2028-02-14,D型,631,破损,LG202605090056,顺丰,SUP-000056,供应商物料-56
BS-00000057,2026-03-18,RK-00000057,03,2026-03-20,SKU-0007,物料-10,530,R20260318-0057,WH-002-次仓,已审核,2027-12-20,B型,782,,LG202603180057,中通,SUP-000057,供应商物料-57
BS-00000058,2026-04-27,RK-00000058,01,2026-04-29,SKU-0006,物料-26,529,R20260427-0058,WH-002-次仓,已审核,2027-02-25,B型,523,破损,LG202604270058,顺丰,SUP-000058,供应商物料-58
BS-00000059,2026-06-08,RK-00000059,01,2026-06-09,SKU-0012,物料-10,530,R20260608-0059,WH-001-主仓,已审核,2027-07-15,A型,755,正常,LG202606080059,圆通,SUP-000059,供应商物料-59
BS-00000060,2026-06-06,RK-00000060,01,2026-06-07,SKU-0012,物料-06,897,R20260606-0060,WH-003-电商仓,未审核,2027-10-26,B型,807,破损,LG202606060060,圆通,SUP-000060,供应商物料-60
BS-00000061,2026-05-25,RK-00000061,01,2026-05-25,SKU-0006,物料-21,410,R20260525-0061,WH-003-电商仓,已审核,2027-08-06,A型,108,,LG202605250061,申通,SUP-000061,供应商物料-61
BS-00000062,2026-05-06,RK-00000062,02,2026-05-07,SKU-0004,物料-29,673,R20260506-0062,WH-003-电商仓,已审核,2027-01-07,D型,640,,LG202605060062,圆通,SUP-000062,供应商物料-62
BS-00000063,2026-03-19,RK-00000063,03,2026-03-21,SKU-0026,物料-01,977,R20260319-0063,WH-003-电商仓,未审核,2026-11-15,B型,19,破损,LG202603190063,圆通,SUP-000063,供应商物料-63
BS-00000064,2026-04-16,RK-00000064,03,2026-04-17,SKU-0013,物料-20,663,R20260416-0064,WH-003-电商仓,未审核,2028-03-21,C型,594,正常,LG202604160064,中通,SUP-000064,供应商物料-64
BS-00000065,2026-04-22,RK-00000065,03,2026-04-24,SKU-0012,物料-13,959,R20260422-0065,WH-002-次仓,已审核,2027-07-24,C型,218,破损,LG202604220065,中通,SUP-000065,供应商物料-65
BS-00000066,2026-04-19,RK-00000066,01,2026-04-20,SKU-0015,物料-30,857,R20260419-0066,WH-001-主仓,未审核,2027-02-15,B型,645,正常,LG202604190066,圆通,SUP-000066,供应商物料-66
BS-00000067,2026-05-15,RK-00000067,02,2026-05-15,SKU-0008,物料-08,283,R20260515-0067,WH-001-主仓,已审核,2027-08-09,A型,47,破损,LG202605150067,申通,SUP-000067,供应商物料-67
BS-00000068,2026-04-24,RK-00000068,03,2026-04-25,SKU-0013,物料-24,481,R20260424-0068,WH-001-主仓,已审核,2028-03-05,A型,964,正常,LG202604240068,圆通,SUP-000068,供应商物料-68
BS-00000069,2026-05-27,RK-00000069,02,2026-05-27,SKU-0011,物料-28,944,R20260527-0069,WH-002-次仓,已审核,2027-08-18,A型,103,破损,LG202605270069,中通,SUP-000069,供应商物料-69
BS-00000070,2026-05-30,RK-00000070,03,2026-05-31,SKU-0011,物料-13,381,R20260530-0070,WH-002-次仓,已审核,2027-07-01,B型,242,破损,LG202605300070,顺丰,SUP-000070,供应商物料-70
BS-00000071,2026-04-26,RK-00000071,02,2026-04-28,SKU-0030,物料-06,440,R20260426-0071,WH-001-主仓,已审核,2027-03-30,D型,896,正常,LG202604260071,申通,SUP-000071,供应商物料-71
BS-00000072,2026-03-24,RK-00000072,01,2026-03-25,SKU-0011,物料-29,548,R20260324-0072,WH-002-次仓,未审核,2027-09-14,D型,172,正常,LG202603240072,申通,SUP-000072,供应商物料-72
BS-00000073,2026-04-17,RK-00000073,01,2026-04-18,SKU-0026,物料-19,357,R20260417-0073,WH-002-次仓,已审核,2028-01-21,D型,848,破损,LG202604170073,圆通,SUP-000073,供应商物料-73
BS-00000074,2026-03-25,RK-00000074,03,2026-03-27,SKU-0019,物料-12,80,R20260325-0074,WH-001-主仓,未审核,2027-05-26,A型,661,,LG202603250074,顺丰,SUP-000074,供应商物料-74
BS-00000075,2026-03-24,RK-00000075,03,2026-03-26,SKU-0021,物料-15,491,R20260324-0075,WH-002-次仓,已审核,2027-07-07,B型,251,正常,LG202603240075,申通,SUP-000075,供应商物料-75
BS-00000076,2026-03-23,RK-00000076,03,2026-03-24,SKU-0017,物料-08,740,R20260323-0076,WH-003-电商仓,已审核,2026-10-24,C型,691,,LG202603230076,申通,SUP-000076,供应商物料-76
BS-00000077,2026-05-05,RK-00000077,01,2026-05-07,SKU-0001,物料-23,811,R20260505-0077,WH-001-主仓,已审核,2027-01-05,D型,107,,LG202605050077,中通,SUP-000077,供应商物料-77
BS-00000078,2026-04-08,RK-00000078,01,2026-04-10,SKU-0013,物料-11,265,R20260408-0078,WH-001-主仓,已审核,2027-12-05,D型,954,,LG202604080078,圆通,SUP-000078,供应商物料-78
BS-00000079,2026-04-02,RK-00000079,03,2026-04-03,SKU-0025,物料-09,112,R20260402-0079,WH-001-主仓,已审核,2027-03-04,A型,392,,LG202604020079,圆通,SUP-000079,供应商物料-79
BS-00000080,2026-06-03,RK-00000080,03,2026-06-03,SKU-0020,物料-19,156,R20260603-0080,WH-001-主仓,已审核,2027-03-30,D型,588,破损,LG202606030080,申通,SUP-000080,供应商物料-80
BS-00000081,2026-03-30,RK-00000081,01,2026-03-31,SKU-0009,物料-11,911,R20260330-0081,WH-002-次仓,已审核,2027-04-05,B型,298,正常,LG202603300081,顺丰,SUP-000081,供应商物料-81
BS-00000082,2026-05-25,RK-00000082,03,2026-05-26,SKU-0023,物料-06,679,R20260525-0082,WH-001-主仓,已审核,2028-03-10,D型,625,破损,LG202605250082,顺丰,SUP-000082,供应商物料-82
BS-00000083,2026-04-10,RK-00000083,03,2026-04-10,SKU-0026,物料-15,869,R20260410-0083,WH-003-电商仓,已审核,2027-09-25,A型,150,破损,LG202604100083,顺丰,SUP-000083,供应商物料-83
BS-00000084,2026-05-04,RK-00000084,03,2026-05-05,SKU-0024,物料-17,149,R20260504-0084,WH-002-次仓,已审核,2027-10-22,B型,212,破损,LG202605040084,顺丰,SUP-000084,供应商物料-84
BS-00000085,2026-06-09,RK-00000085,01,2026-06-10,SKU-0011,物料-12,664,R20260609-0085,WH-002-次仓,已审核,2028-05-19,A型,497,破损,LG202606090085,圆通,SUP-000085,供应商物料-85
BS-00000086,2026-03-26,RK-00000086,01,2026-03-28,SKU-0009,物料-24,630,R20260326-0086,WH-001-主仓,已审核,2028-01-14,C型,413,破损,LG202603260086,中通,SUP-000086,供应商物料-86
BS-00000087,2026-04-10,RK-00000087,02,2026-04-11,SKU-0017,物料-02,432,R20260410-0087,WH-002-次仓,已审核,2026-12-18,D型,426,正常,LG202604100087,顺丰,SUP-000087,供应商物料-87
BS-00000088,2026-04-09,RK-00000088,02,2026-04-09,SKU-0007,物料-21,880,R20260409-0088,WH-002-次仓,未审核,2027-10-31,B型,811,破损,LG202604090088,顺丰,SUP-000088,供应商物料-88
BS-00000089,2026-04-12,RK-00000089,02,2026-04-12,SKU-0008,物料-22,841,R20260412-0089,WH-002-次仓,已审核,2026-12-23,B型,315,破损,LG202604120089,中通,SUP-000089,供应商物料-89
BS-00000090,2026-04-10,RK-00000090,02,2026-04-12,SKU-0030,物料-04,73,R20260410-0090,WH-001-主仓,已审核,2027-04-12,D型,955,破损,LG202604100090,圆通,SUP-000090,供应商物料-90
BS-00000091,2026-03-27,RK-00000091,03,2026-03-28,SKU-0002,物料-25,280,R20260327-0091,WH-003-电商仓,已审核,2027-08-26,C型,146,,LG202603270091,中通,SUP-000091,供应商物料-91
BS-00000092,2026-04-16,RK-00000092,01,2026-04-17,SKU-0014,物料-03,707,R20260416-0092,WH-001-主仓,已审核,2028-01-31,C型,784,破损,LG202604160092,中通,SUP-000092,供应商物料-92
BS-00000093,2026-06-01,RK-00000093,01,2026-06-02,SKU-0010,物料-02,877,R20260601-0093,WH-003-电商仓,已审核,2027-09-29,D型,914,正常,LG202606010093,顺丰,SUP-000093,供应商物料-93
BS-00000094,2026-04-28,RK-00000094,02,2026-04-29,SKU-0009,物料-19,844,R20260428-0094,WH-002-次仓,已审核,2027-04-04,D型,627,正常,LG202604280094,中通,SUP-000094,供应商物料-94
BS-00000095,2026-04-08,RK-00000095,03,2026-04-08,SKU-0028,物料-05,522,R20260408-0095,WH-003-电商仓,已审核,2026-11-20,D型,931,正常,LG202604080095,中通,SUP-000095,供应商物料-95
BS-00000096,2026-05-12,RK-00000096,01,2026-05-12,SKU-0001,物料-17,16,R20260512-0096,WH-001-主仓,已审核,2026-12-01,A型,139,,LG202605120096,圆通,SUP-000096,供应商物料-96
BS-00000097,2026-06-02,RK-00000097,01,2026-06-04,SKU-0012,物料-16,402,R20260602-0097,WH-001-主仓,已审核,2027-10-30,B型,782,正常,LG202606020097,顺丰,SUP-000097,供应商物料-97
BS-00000098,2026-05-06,RK-00000098,03,2026-05-07,SKU-0014,物料-16,10,R20260506-0098,WH-001-主仓,已审核,2027-08-12,B型,634,,LG202605060098,顺丰,SUP-000098,供应商物料-98
BS-00000099,2026-05-06,RK-00000099,03,2026-05-06,SKU-0019,物料-26,270,R20260506-0099,WH-002-次仓,已审核,2027-04-24,D型,843,正常,LG202605060099,申通,SUP-000099,供应商物料-99
BS-00000100,2026-05-25,RK-00000100,02,2026-05-26,SKU-0029,物料-12,56,R20260525-0100,WH-003-电商仓,未审核,2027-09-23,A型,125,,LG202605250100,顺丰,SUP-000100,供应商物料-100
BS-00000101,2026-03-28,RK-00000101,02,2026-03-28,SKU-0011,物料-04,877,R20260328-0101,WH-001-主仓,已审核,2027-05-11,A型,147,正常,LG202603280101,圆通,SUP-000101,供应商物料-101
BS-00000102,2026-05-12,RK-00000102,03,2026-05-12,SKU-0009,物料-17,787,R20260512-0102,WH-001-主仓,已审核,2027-03-05,B型,424,破损,LG202605120102,圆通,SUP-000102,供应商物料-102
BS-00000103,2026-04-01,RK-00000103,01,2026-04-03,SKU-0017,物料-25,11,R20260401-0103,WH-001-主仓,已审核,2026-11-19,C型,170,正常,LG202604010103,圆通,SUP-000103,供应商物料-103
BS-00000104,2026-04-17,RK-00000104,03,2026-04-18,SKU-0020,物料-30,544,R20260417-0104,WH-002-次仓,已审核,2027-04-23,D型,629,正常,LG202604170104,申通,SUP-000104,供应商物料-104
BS-00000105,2026-04-14,RK-00000105,03,2026-04-16,SKU-0026,物料-19,368,R20260414-0105,WH-001-主仓,已审核,2028-03-16,D型,257,正常,LG202604140105,申通,SUP-000105,供应商物料-105
BS-00000106,2026-04-09,RK-00000106,01,2026-04-11,SKU-0006,物料-02,486,R20260409-0106,WH-002-次仓,已审核,2027-02-23,A型,888,破损,LG202604090106,圆通,SUP-000106,供应商物料-106
BS-00000107,2026-05-18,RK-00000107,01,2026-05-20,SKU-0006,物料-05,961,R20260518-0107,WH-002-次仓,已审核,2027-03-06,B型,143,,LG202605180107,顺丰,SUP-000107,供应商物料-107
BS-00000108,2026-05-10,RK-00000108,02,2026-05-12,SKU-0030,物料-01,924,R20260510-0108,WH-001-主仓,已审核,2027-07-27,A型,535,,LG202605100108,申通,SUP-000108,供应商物料-108
BS-00000109,2026-03-22,RK-00000109,03,2026-03-24,SKU-0020,物料-26,431,R20260322-0109,WH-002-次仓,已审核,2028-01-21,C型,599,破损,LG202603220109,顺丰,SUP-000109,供应商物料-109
BS-00000110,2026-06-09,RK-00000110,02,2026-06-11,SKU-0010,物料-14,824,R20260609-0110,WH-002-次仓,未审核,2027-11-14,B型,280,破损,LG202606090110,申通,SUP-000110,供应商物料-110
BS-00000111,2026-06-01,RK-00000111,03,2026-06-03,SKU-0010,物料-23,605,R20260601-0111,WH-001-主仓,已审核,2028-05-03,D型,234,,LG202606010111,中通,SUP-000111,供应商物料-111
BS-00000112,2026-05-10,RK-00000112,03,2026-05-11,SKU-0026,物料-09,213,R20260510-0112,WH-001-主仓,未审核,2027-02-12,B型,130,,LG202605100112,圆通,SUP-000112,供应商物料-112
BS-00000113,2026-06-10,RK-00000113,01,2026-06-12,SKU-0026,物料-17,980,R20260610-0113,WH-003-电商仓,已审核,2028-03-23,B型,744,,LG202606100113,中通,SUP-000113,供应商物料-113
BS-00000114,2026-05-30,RK-00000114,03,2026-05-31,SKU-0017,物料-12,236,R20260530-0114,WH-001-主仓,未审核,2026-12-18,D型,730,,LG202605300114,圆通,SUP-000114,供应商物料-114
BS-00000115,2026-05-24,RK-00000115,03,2026-05-25,SKU-0021,物料-24,957,R20260524-0115,WH-003-电商仓,已审核,2027-07-16,C型,948,,LG202605240115,中通,SUP-000115,供应商物料-115
BS-00000116,2026-04-14,RK-00000116,01,2026-04-14,SKU-0014,物料-24,773,R20260414-0116,WH-003-电商仓,已审核,2027-06-30,A型,472,破损,LG202604140116,顺丰,SUP-000116,供应商物料-116
BS-00000117,2026-04-13,RK-00000117,01,2026-04-15,SKU-0005,物料-23,826,R20260413-0117,WH-003-电商仓,已审核,2027-08-30,C型,925,,LG202604130117,顺丰,SUP-000117,供应商物料-117
BS-00000118,2026-03-21,RK-00000118,01,2026-03-22,SKU-0003,物料-26,976,R20260321-0118,WH-001-主仓,未审核,2027-10-08,C型,249,,LG202603210118,圆通,SUP-000118,供应商物料-118
BS-00000119,2026-05-10,RK-00000119,03,2026-05-10,SKU-0011,物料-20,160,R20260510-0119,WH-003-电商仓,已审核,2027-03-07,C型,30,正常,LG202605100119,顺丰,SUP-000119,供应商物料-119
BS-00000120,2026-04-06,RK-00000120,01,2026-04-06,SKU-0019,物料-30,256,R20260406-0120,WH-003-电商仓,已审核,2027-07-29,B型,457,破损,LG202604060120,圆通,SUP-000120,供应商物料-120
BS-00000121,2026-04-05,RK-00000121,03,2026-04-07,SKU-0020,物料-12,827,R20260405-0121,WH-003-电商仓,未审核,2027-08-14,C型,806,破损,LG202604050121,中通,SUP-000121,供应商物料-121
BS-00000122,2026-03-13,RK-00000122,02,2026-03-15,SKU-0019,物料-15,26,R20260313-0122,WH-001-主仓,已审核,2026-09-28,B型,964,,LG202603130122,圆通,SUP-000122,供应商物料-122
BS-00000123,2026-06-09,RK-00000123,01,2026-06-11,SKU-0014,物料-16,313,R20260609-0123,WH-001-主仓,已审核,2027-10-01,B型,338,正常,LG202606090123,申通,SUP-000123,供应商物料-123
BS-00000124,2026-06-03,RK-00000124,02,2026-06-05,SKU-0015,物料-30,898,R20260603-0124,WH-001-主仓,已审核,2028-03-13,A型,457,正常,LG202606030124,中通,SUP-000124,供应商物料-124
BS-00000125,2026-03-14,RK-00000125,02,2026-03-15,SKU-0003,物料-23,523,R20260314-0125,WH-001-主仓,已审核,2026-12-04,A型,614,,LG202603140125,中通,SUP-000125,供应商物料-125
BS-00000126,2026-04-12,RK-00000126,01,2026-04-13,SKU-0003,物料-18,206,R20260412-0126,WH-002-次仓,已审核,2027-11-17,C型,949,正常,LG202604120126,圆通,SUP-000126,供应商物料-126
BS-00000127,2026-03-12,RK-00000127,01,2026-03-14,SKU-0023,物料-22,455,R20260312-0127,WH-001-主仓,已审核,2026-12-28,B型,264,,LG202603120127,申通,SUP-000127,供应商物料-127
BS-00000128,2026-04-04,RK-00000128,03,2026-04-06,SKU-0009,物料-14,350,R20260404-0128,WH-003-电商仓,未审核,2027-02-16,D型,171,破损,LG202604040128,申通,SUP-000128,供应商物料-128
BS-00000129,2026-04-30,RK-00000129,01,2026-05-01,SKU-0011,物料-12,790,R20260430-0129,WH-001-主仓,已审核,2026-11-05,B型,312,正常,LG202604300129,顺丰,SUP-000129,供应商物料-129
BS-00000130,2026-04-23,RK-00000130,02,2026-04-25,SKU-0015,物料-11,70,R20260423-0130,WH-002-次仓,未审核,2027-08-06,A型,773,,LG202604230130,中通,SUP-000130,供应商物料-130
